filename,class_name,original_folder,file_path,split
Tr-gl_1368.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1368.npz,train
Tr-pi_937.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_937.npz,train
Tr-me_418.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_418.npz,train
Tr-no_583.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_583.npz,train
Tr-gl_596.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_596.npz,train
Tr-no_419.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_419.npz,train
Tr-me_972.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_972.npz,train
Tr-pi_271.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_271.npz,train
Tr-me_446.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_446.npz,train
Tr-no_848.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_848.npz,train
Tr-pi_19.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_19.npz,train
Tr-gl_1090.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1090.npz,train
Tr-no_539.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_539.npz,train
Tr-pi_988.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_988.npz,train
Tr-gl_267.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_267.npz,train
Tr-me_739.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_739.npz,train
Tr-gl_848.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_848.npz,train
Tr-gl_959.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_959.npz,train
Tr-pi_1315.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1315.npz,train
Tr-me_1245.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1245.npz,train
Tr-me_490.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_490.npz,train
Tr-pi_323.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_323.npz,train
Tr-no_127.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_127.npz,train
Tr-pi_69.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_69.npz,train
Tr-gl_442.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_442.npz,train
Tr-pi_796.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_796.npz,train
Tr-me_8.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_8.npz,train
Tr-no_97.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_97.npz,train
Tr-me_82.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_82.npz,train
Tr-gl_550.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_550.npz,train
Tr-gl_284.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_284.npz,train
Tr-pi_230.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_230.npz,train
Tr-pi_998.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_998.npz,train
Tr-no_952.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_952.npz,train
Tr-me_452.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_452.npz,train
Tr-no_61.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_61.npz,train
Tr-me_1204.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1204.npz,train
Tr-no_1086.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1086.npz,train
Tr-pi_797.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_797.npz,train
Tr-me_926.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_926.npz,train
Tr-no_597.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_597.npz,train
Tr-me_600.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_600.npz,train
Tr-no_30.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_30.npz,train
Tr-gl_900.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_900.npz,train
Tr-gl_22.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_22.npz,train
Tr-pi_840.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_840.npz,train
Tr-me_1163.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1163.npz,train
Tr-gl_211.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_211.npz,train
Tr-me_488.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_488.npz,train
Tr-me_539.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_539.npz,train
Tr-no_130.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_130.npz,train
Tr-me_1219.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1219.npz,train
Tr-gl_327.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_327.npz,train
Tr-no_886.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_886.npz,train
Tr-me_1257.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1257.npz,train
Tr-gl_847.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_847.npz,train
Tr-me_1275.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1275.npz,train
Tr-pi_472.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_472.npz,train
Tr-pi_733.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_733.npz,train
Tr-gl_1217.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1217.npz,train
Tr-me_1272.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1272.npz,train
Tr-gl_740.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_740.npz,train
Tr-no_492.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_492.npz,train
Tr-pi_475.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_475.npz,train
Tr-me_545.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_545.npz,train
Tr-no_426.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_426.npz,train
Tr-gl_171.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_171.npz,train
Tr-gl_1379.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1379.npz,train
Tr-gl_1316.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1316.npz,train
Tr-me_292.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_292.npz,train
Tr-pi_1079.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1079.npz,train
Tr-gl_1374.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1374.npz,train
Tr-pi_281.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_281.npz,train
Tr-me_784.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_784.npz,train
Tr-gl_419.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_419.npz,train
Tr-no_809.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_809.npz,train
Tr-me_833.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_833.npz,train
Tr-gl_1118.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1118.npz,train
Tr-gl_842.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_842.npz,train
Tr-pi_1350.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1350.npz,train
Tr-gl_792.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_792.npz,train
Tr-gl_845.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_845.npz,train
Tr-no_615.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_615.npz,train
Tr-me_493.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_493.npz,train
Tr-pi_1013.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1013.npz,train
Tr-me_1135.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1135.npz,train
Tr-no_603.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_603.npz,train
Tr-gl_945.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_945.npz,train
Tr-no_744.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_744.npz,train
Tr-gl_1376.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1376.npz,train
Tr-pi_747.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_747.npz,train
Tr-me_781.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_781.npz,train
Tr-no_905.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_905.npz,train
Tr-no_1031.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1031.npz,train
Tr-no_429.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_429.npz,train
Tr-pi_301.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_301.npz,train
Tr-pi_825.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_825.npz,train
Tr-no_714.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_714.npz,train
Tr-gl_387.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_387.npz,train
Tr-gl_820.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_820.npz,train
Tr-no_1316.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1316.npz,train
Tr-pi_578.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_578.npz,train
Tr-no_498.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_498.npz,train
Tr-me_847.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_847.npz,train
Tr-gl_70.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_70.npz,train
Tr-no_713.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_713.npz,train
Tr-me_186.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_186.npz,train
Tr-no_1247.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1247.npz,train
Tr-pi_1254.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1254.npz,train
Tr-gl_372.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_372.npz,train
Tr-pi_426.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_426.npz,train
Tr-no_811.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_811.npz,train
Tr-me_1166.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1166.npz,train
Tr-no_531.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_531.npz,train
Tr-me_310.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_310.npz,train
Tr-me_507.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_507.npz,train
Tr-me_442.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_442.npz,train
Tr-pi_655.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_655.npz,train
Tr-gl_762.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_762.npz,train
Tr-no_1379.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1379.npz,train
Tr-gl_904.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_904.npz,train
Tr-pi_493.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_493.npz,train
Tr-gl_162.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_162.npz,train
Tr-pi_812.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_812.npz,train
Tr-pi_1381.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1381.npz,train
Tr-no_780.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_780.npz,train
Tr-pi_968.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_968.npz,train
Tr-me_448.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_448.npz,train
Tr-gl_73.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_73.npz,train
Tr-gl_186.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_186.npz,train
Tr-aug-me_75.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-aug-me_75.npz,train
Tr-me_50.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_50.npz,train
Tr-me_943.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_943.npz,train
Tr-me_190.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_190.npz,train
Tr-me_1279.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1279.npz,train
Tr-gl_390.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_390.npz,train
Tr-gl_647.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_647.npz,train
Tr-me_117.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_117.npz,train
Tr-pi_908.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_908.npz,train
Tr-no_1390.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1390.npz,train
Tr-pi_160.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_160.npz,train
Tr-me_58.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_58.npz,train
Tr-no_448.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_448.npz,train
Tr-me_994.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_994.npz,train
Tr-me_1238.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1238.npz,train
Tr-pi_931.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_931.npz,train
Tr-gl_27.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_27.npz,train
Tr-me_178.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_178.npz,train
Tr-no_653.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_653.npz,train
Tr-pi_1226.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1226.npz,train
Tr-no_1049.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1049.npz,train
Tr-no_685.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_685.npz,train
Tr-pi_565.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_565.npz,train
Tr-gl_871.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_871.npz,train
Tr-pi_749.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_749.npz,train
Tr-pi_356.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_356.npz,train
Tr-me_987.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_987.npz,train
Tr-me_903.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_903.npz,train
Tr-pi_1184.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1184.npz,train
Tr-me_447.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_447.npz,train
Tr-gl_868.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_868.npz,train
Tr-no_812.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_812.npz,train
Tr-pi_531.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_531.npz,train
Tr-pi_1269.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1269.npz,train
Tr-no_972.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_972.npz,train
Tr-pi_173.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_173.npz,train
Tr-gl_1346.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1346.npz,train
Tr-me_1088.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1088.npz,train
Tr-no_604.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_604.npz,train
Tr-no_566.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_566.npz,train
Tr-pi_411.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_411.npz,train
Tr-no_21.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_21.npz,train
Tr-gl_880.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_880.npz,train
Tr-no_210.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_210.npz,train
Tr-pi_979.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_979.npz,train
Tr-gl_735.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_735.npz,train
Tr-gl_822.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_822.npz,train
Tr-no_1058.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1058.npz,train
Tr-no_294.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_294.npz,train
Tr-gl_514.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_514.npz,train
Tr-gl_1085.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1085.npz,train
Tr-gl_56.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_56.npz,train
Tr-gl_280.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_280.npz,train
Tr-gl_953.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_953.npz,train
Tr-me_860.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_860.npz,train
Tr-gl_1331.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1331.npz,train
Tr-no_1358.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1358.npz,train
Tr-pi_708.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_708.npz,train
Tr-pi_1278.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1278.npz,train
Tr-pi_730.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_730.npz,train
Tr-me_28.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_28.npz,train
Tr-no_1167.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1167.npz,train
Tr-no_947.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_947.npz,train
Tr-no_1022.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1022.npz,train
Tr-no_463.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_463.npz,train
Tr-me_331.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_331.npz,train
Tr-no_1367.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1367.npz,train
Tr-no_509.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_509.npz,train
Tr-no_781.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_781.npz,train
Tr-pi_189.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_189.npz,train
Tr-gl_100.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_100.npz,train
Tr-me_367.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_367.npz,train
Tr-pi_916.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_916.npz,train
Tr-gl_955.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_955.npz,train
Tr-gl_851.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_851.npz,train
Tr-pi_96.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_96.npz,train
Tr-me_1292.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1292.npz,train
Tr-me_548.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_548.npz,train
Tr-me_44.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_44.npz,train
Tr-pi_685.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_685.npz,train
Tr-no_430.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_430.npz,train
Tr-pi_425.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_425.npz,train
Tr-gl_1191.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1191.npz,train
Tr-me_35.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_35.npz,train
Tr-pi_440.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_440.npz,train
Tr-gl_779.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_779.npz,train
Tr-me_351.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_351.npz,train
Tr-pi_1362.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1362.npz,train
Tr-no_644.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_644.npz,train
Tr-me_572.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_572.npz,train
Tr-pi_410.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_410.npz,train
Tr-gl_1286.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1286.npz,train
Tr-gl_498.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_498.npz,train
Tr-me_743.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_743.npz,train
Tr-pi_1011.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1011.npz,train
Tr-aug-me_38.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-aug-me_38.npz,train
Tr-gl_1001.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1001.npz,train
Tr-me_1038.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1038.npz,train
Tr-me_94.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_94.npz,train
Tr-pi_353.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_353.npz,train
Tr-no_1285.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1285.npz,train
Tr-pi_1130.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1130.npz,train
Tr-gl_1002.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1002.npz,train
Tr-pi_506.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_506.npz,train
Tr-no_877.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_877.npz,train
Tr-pi_28.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_28.npz,train
Tr-no_1074.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1074.npz,train
Tr-me_1078.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1078.npz,train
Tr-me_672.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_672.npz,train
Tr-no_572.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_572.npz,train
Tr-gl_1291.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1291.npz,train
Tr-no_73.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_73.npz,train
